not-Kannada,@Kavya V u wanna go there?
Not_offensive,@poojitha subbaiah Hai ennane ullira
Offensive_Untargetede,Namma galli goo bandiddru ashwatthama
not-Kannada,Hahaha super bro
not-Kannada,@Saraswathi.p.k. Baby swathi
Not_offensive,Ella hantha hellodakke hagodilla eddaru erabhahudu e prapancha ne ondu maye yavudakku uttara sigodilla nambikene ella
Not_offensive,Satyana edu devare
Not_offensive,ನಂಬಲಾದ ವಿಸ್ಮಯ ಸಂಗತಿಗಳು ಅದೆಷ್ಟು ಇವೆ ನಂಬಲು ಆಗದೆ ಇದ್ದರು ಸತ್ಯವೇ ಆಗಿರುತ್ತವೆ
Not_offensive,Kathe tumba ista aythu..
Not_offensive,ಗುರು ಇದನ್ನು ಮಾಧ್ಯಮದವರು ಸರೆ ಹಿಡ್ದಿರೋ ದೃಶ್ಯ ಇದ್ರೆ ಹಾಕು ಗುರು.
Not_offensive,Howdu brother nanu tv nalli nodidde evru elidnella avru elidru
Not_offensive,ಕಿರಣ್ ಶಾಲಿ... ಇಲ್ಲಿ ಕೊಟ್ಟಿದೀನಿ ನೋಡು ಈ ಲಿಂಕ್  ಕ್ಲಿಕ್ ಮಾಡು
Offensive_Untargetede,@vinay vinu ಅಶ್ವತ್ಥಾಮ ಹೇಗೆ ಚಿರಂಜೀವಿಯೋ ಹಾಗೆಯೇ ಭಗವಾನ್ ಪರಶುರಾಮರು ಚಿರಂಜೀವಿನೆ ಅಲ್ವಾ... ಹೇಗಾದ್ರು ಮಾಡಿ ಅವರ ಹತ್ರ ಇರೋ ಅಸ್ತ್ರಗಳನ್ನು ಪ್ರಯೋಗಿಸಿ ಪಾಕಿಸ್ತಾನದ ಉಗ್ರಗಾಮಿಗಳನ್ನ ನಾಶ ಮಾಡೋಕ್ಕಾಗಲ್ವ...
Offensive_Targeted_Insult_Individual,@Kiran Shali ಲೈ  ತಗಡು ನೀನು ಹಿಂದು ಧರ್ಮದ್ವನೆನೊ ಆಥವಾ  cross ನೀನು
Offensive_Untargetede,@vinay vinu ಇವ್ನು ಯಾರ್ ಗುರು ನಂದೆಲ್ಲಿ ಇಡ್ಲಿ ಅಂತವ್ನೆ
Offensive_Targeted_Insult_Individual,@Kiran Shali ಲೈ ಶ್ಯಾಟ ..... ನಿನ್ ಅಯ್ಯನ್.... ಯಾವ ಪ್ರಶ್ನೆ  ಕೆಳ್ದೆ ನೀನು  ಕೋಡು ನಿನ್ ನಂಬರ್ ಇಲ್ಲಾ  ಆಡ್ರಸ್ ಕೋಡು ದೆವ್ರಾಣೆ ಡೈರೆಕ್ಟ್ ಆಗಿ ಉತ್ತರ ಕೊಡ್ತೀನಿ....
Offensive_Targeted_Insult_Individual,@vinay vinu nice comedy man....     ನಾನ್ ಕೇಳೋ ಪ್ರಶ್ನೆಗೆ ಉತ್ತರ ಹೇಳೋಕೆ ಆಗ್ದಲೆ ಇರೋ ನನ್ನ ಬಂದು ಏನೋ ಮಾಡ್ತಿಯ ಪಾಪ..  ನಿನ್ ನೋಡಿದ್ರೆ ಅಯ್ಯೋ ಅನ್ಸುತ್ತೆ...
not-Kannada,@Kiran Shali 2
Offensive_Targeted_Insult_Individual,ಗುರು ನಿಮ್ಗೆ ಡೌಟ
Not_offensive,Bro z news(Hindi) channel Alli nodi
Offensive_Untargetede,Ayyo guru... Yelli tanka jana moodnambke bidalvo alli tanka inta shatnayakru useless videos haktane irrtare guru.nMahabharata tumba olle moral story. Jeevanakke bekagiro tumba paata ide idralli. Adunella use madkondu olle jeevna madbeku aste.
